Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
3170,0,24,101,0,0,1447372,46385,0
3180,2,19,56,0,6912419,373639,17356,0
3190,2,28,98,0,6912415,523288,45519,0
3200,0,28,60,2,0,7789047,18520,236
3210,0,22,98,0,0,398922,45519,0
3220,2,22,60,0,6912417,448150,18520,0
3230,2,24,98,0,6912417,498080,45519,0
3240,0,22,81,0,0,398922,32122,0
3250,0,24,77,2,0,448532,31917,232
3260,0,30,84,2,0,14105479,33561,240
3270,0,27,74,0,0,1472591,30478,0
3280,2,22,79,0,6912419,398922,32029,0
3290,2,19,83,0,6912415,373639,33182,0
3300,0,31,80,2,0,7838902,32349,236
3310,0,21,78,0,0,423441,31690,0
3320,1,22,75,0,361,374145,30857,0
3330,2,28,81,0,6912417,548072,32454,0
3340,1,23,83,0,6912056,423759,34519,0
3350,0,20,73,2,0,398540,29076,232
3360,0,28,102,2,0,14080326,46691,240
3370,1,29,59,0,362,1522393,18152,0
3380,1,24,95,0,6912057,448660,44715,0
3390,2,19,60,0,6912415,373639,18520,0
3400,0,29,98,2,0,7789036,45519,236
3410,0,27,60,0,0,523299,18520,0
3420,2,20,98,0,6912417,398540,45519,0
3430,2,21,83,0,6912417,374021,33201,0
3440,0,26,81,0,0,547690,32690,0
3450,0,21,73,1,0,398594,30177,117
3460,0,31,79,3,0,14081164,32010,355
3470,1,27,81,0,362,1472401,32473,0
3480,1,26,77,0,6912057,473687,31566,0
3490,2,21,80,0,6912415,423377,32349,0
3500,0,27,82,2,0,7739426,32862,236
3510,0,28,78,0,0,473751,31462,0
3520,1,25,77,0,361,473561,31566,0
3530,3,21,79,0,13824473,423441,32029,0
3540,0,21,79,0,0,423313,32010,0
3550,0,22,97,2,0,398858,44809,232
3560,0,29,64,2,0,7813730,20034,240
3570,0,27,96,0,0,7764280,45035,0
3580,2,24,61,0,6912419,448532,18644,0
3590,2,23,96,0,6912415,423887,45075,0
3600,0,30,62,2,0,7764709,19026,236
3610,0,19,98,0,0,373639,45519,0
3620,1,23,78,0,361,472987,31318,0
3630,3,28,78,0,13824473,498844,31300,0
3640,0,21,79,0,0,398666,32029,0
3650,0,21,78,2,0,374021,31300,232
3660,0,31,81,2,0,7888189,32535,240
3670,0,26,82,0,0,7763886,32814,0
3680,2,24,83,0,6912419,399304,34527,0
3690,2,23,72,0,6912415,472987,28708,0
3700,0,32,99,2,0,7839092,45253,236
3710,0,22,59,0,0,398922,18786,0
3720,1,22,102,0,361,448150,46691,0
3730,2,25,57,0,6912417,473561,17668,0
3740,1,23,100,0,6912056,423759,46003,0
3750,0,20,58,2,0,398540,18036,232
3760,0,34,97,2,0,7839144,45199,240
3770,0,29,61,0,0,7764598,18840,0
3780,2,23,100,0,6912419,374344,46003,0
3790,2,23,75,2,6912415,472987,30514,236
3800,0,31,80,0,0,7838966,32721,0
3810,0,22,82,0,0,398922,32833,0
3820,2,22,77,0,6912417,448150,31526,0
3830,2,26,78,0,6912417,498398,31709,0
3840,0,17,79,0,0,324029,32010,0
3850,0,20,79,2,0,398540,32029,232
3860,0,29,79,2,0,13057103,32010,240
3870,1,31,79,0,362,2570835,32029,0
3880,1,21,84,0,6912057,423441,33542,0
3890,2,24,92,0,6912415,448532,43277,0
3900,0,30,61,2,0,7814065,19230,236
3910,0,25,101,0,0,424141,46323,0
3920,2,20,58,0,6912417,398540,18036,0
3930,2,22,101,0,6912417,448150,46371,0
3940,0,28,56,0,0,498780,17348,0
3950,0,22,99,1,0,423495,45839,117
