Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224515.1219912,91.9,577.66,65.9,485.89,24.0,58.45,2.0,33.32
1737224517.1321442,92.9,576.95,67.9,487.18,23.0,56.45,2.0,33.32
1737224519.1504545,89.8,577.9,63.9,486.08,23.9,58.5,2.0,33.32
1737224521.1808746,77.9,581.2,58.9,483.24,17.0,64.64,2.0,33.32
1737224523.1902454,96.9,578.06,69.9,486.08,23.0,58.66,4.0,33.32
1737224525.2027776,93.8,579.03,68.8,481.19,22.0,64.52,3.0,33.32
1737224527.213634,88.8,575.88,64.9,484.53,20.9,58.03,3.0,33.32
1737224529.223828,91.9,573.05,65.9,481.19,23.0,58.54,3.0,33.32
1737224531.2387624,83.9,580.12,59.9,482.21,21.0,64.59,3.0,33.32
1737224533.2474458,89.9,584.67,64.9,492.78,22.0,58.57,3.0,33.32
1737224535.258325,77.5,584.18,60.6,485.82,14.9,65.04,2.0,33.32
1737224537.2773132,96.3,577.83,68.5,486.6,24.8,57.91,3.0,33.32
1737224539.2881384,93.9,578.99,67.9,481.19,24.0,64.48,2.0,33.32
1737224541.3009617,88.9,584.66,64.9,486.08,22.0,65.26,2.0,33.32
1737224543.3111286,88.9,579.15,65.9,481.19,19.0,64.64,4.0,33.32
1737224545.3241396,90.9,573.08,65.9,481.19,23.0,58.57,2.0,33.32
1737224547.3359854,89.9,572.58,65.9,481.19,21.0,58.07,3.0,33.32
1737224549.3542635,93.9,573.17,66.9,481.19,24.0,58.66,3.0,33.32
1737224551.3648298,90.9,572.55,66.9,481.19,23.0,58.04,1.0,33.32
1737224553.376857,97.8,573.18,69.9,481.19,24.9,58.67,3.0,33.32
1737224555.3876684,85.9,566.65,62.9,481.19,21.0,52.14,2.0,33.32
1737224557.4079316,84.0,585.54,59.0,487.11,22.0,65.11,3.0,33.32
1737224559.421026,90.9,584.58,63.9,486.14,23.0,65.12,4.0,33.32
1737224561.434093,95.6,575.99,69.7,484.59,23.9,58.08,2.0,33.32
